Solvent,Temperature_K,Density_g/cm^3,Source
n-Hexane,309.15,0.64476,"NIST Chemistry WebBook, SRD 69"
n-Hexane,310.15,0.64383,"NIST Chemistry WebBook, SRD 69"
n-Hexane,311.15,0.64290,"NIST Chemistry WebBook, SRD 69"
n-Hexane,312.15,0.64197,"NIST Chemistry WebBook, SRD 69"
n-Hexane,313.15,0.64103,"NIST Chemistry WebBook, SRD 69"
n-Hexane,314.15,0.64010,"NIST Chemistry WebBook, SRD 69"
n-Hexane,315.15,0.63916,"NIST Chemistry WebBook, SRD 69"
n-Hexane,316.15,0.63822,"NIST Chemistry WebBook, SRD 69"
n-Hexane,317.15,0.63728,"NIST Chemistry WebBook, SRD 69"
n-Hexane,318.15,0.63634,"NIST Chemistry WebBook, SRD 69"
n-Hexane,319.15,0.63540,"NIST Chemistry WebBook, SRD 69"
n-Hexane,320.15,0.63445,"NIST Chemistry WebBook, SRD 69"
n-Hexane,321.15,0.63350,"NIST Chemistry WebBook, SRD 69"
n-Hexane,322.15,0.63255,"NIST Chemistry WebBook, SRD 69"
n-Hexane,323.15,0.63160,"NIST Chemistry WebBook, SRD 69"
n-Hexane,324.15,0.63065,"NIST Chemistry WebBook, SRD 69"
n-Hexane,325.15,0.62969,"NIST Chemistry WebBook, SRD 69"
n-Hexane,326.15,0.62873,"NIST Chemistry WebBook, SRD 69"
n-Hexane,327.15,0.62777,"NIST Chemistry WebBook, SRD 69"
n-Hexane,328.15,0.62681,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,283.15,0.78803,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,284.15,0.78710,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,285.15,0.78617,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,286.15,0.78524,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,287.15,0.78430,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,288.15,0.78337,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,289.15,0.78243,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,290.15,0.78149,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,291.15,0.78056,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,292.15,0.77962,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,293.15,0.77868,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,294.15,0.77774,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,295.15,0.77680,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,296.15,0.77585,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,297.15,0.77491,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,298.15,0.77397,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,299.15,0.77302,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,300.15,0.77208,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,301.15,0.77113,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,302.15,0.77018,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,303.15,0.76923,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,304.15,0.76828,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,305.15,0.76733,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,306.15,0.76638,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,307.15,0.76543,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,308.15,0.76447,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,309.15,0.76352,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,310.15,0.76256,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,311.15,0.76160,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,312.15,0.76064,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,313.15,0.75968,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,314.15,0.75872,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,315.15,0.75776,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,316.15,0.75680,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,317.15,0.75583,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,318.15,0.75487,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,319.15,0.75390,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,320.15,0.75293,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,321.15,0.75196,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,322.15,0.75099,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,323.15,0.75002,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,324.15,0.74905,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,325.15,0.74807,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,326.15,0.74710,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,327.15,0.74612,"NIST Chemistry WebBook, SRD 69"
Cyclohexane,328.15,0.74514,"NIST Chemistry WebBook, SRD 69"
n-pentane,283.15,0.63600,"NIST Chemistry WebBook, SRD 69"
n-pentane,284.15,0.63503,"NIST Chemistry WebBook, SRD 69"
n-pentane,285.15,0.63405,"NIST Chemistry WebBook, SRD 69"
n-pentane,286.15,0.63308,"NIST Chemistry WebBook, SRD 69"
n-pentane,287.15,0.63210,"NIST Chemistry WebBook, SRD 69"
n-pentane,288.15,0.63112,"NIST Chemistry WebBook, SRD 69"
n-pentane,289.15,0.63014,"NIST Chemistry WebBook, SRD 69"
n-pentane,290.15,0.62916,"NIST Chemistry WebBook, SRD 69"
n-pentane,291.15,0.62817,"NIST Chemistry WebBook, SRD 69"
n-pentane,292.15,0.62718,"NIST Chemistry WebBook, SRD 69"
n-pentane,293.15,0.62619,"NIST Chemistry WebBook, SRD 69"
n-pentane,294.15,0.62520,"NIST Chemistry WebBook, SRD 69"
n-pentane,295.15,0.62421,"NIST Chemistry WebBook, SRD 69"
n-pentane,296.15,0.62321,"NIST Chemistry WebBook, SRD 69"
n-pentane,297.15,0.62221,"NIST Chemistry WebBook, SRD 69"
n-pentane,298.15,0.62121,"NIST Chemistry WebBook, SRD 69"
n-pentane,299.15,0.62021,"NIST Chemistry WebBook, SRD 69"
n-pentane,300.15,0.61920,"NIST Chemistry WebBook, SRD 69"
n-pentane,301.15,0.61819,"NIST Chemistry WebBook, SRD 69"
n-pentane,302.15,0.61718,"NIST Chemistry WebBook, SRD 69"
n-pentane,303.15,0.61617,"NIST Chemistry WebBook, SRD 69"
n-pentane,304.15,0.61515,"NIST Chemistry WebBook, SRD 69"
n-pentane,305.15,0.61413,"NIST Chemistry WebBook, SRD 69"
n-pentane,306.15,0.61311,"NIST Chemistry WebBook, SRD 69"
n-pentane,307.15,0.61209,"NIST Chemistry WebBook, SRD 69"
n-pentane,308.15,0.61106,"NIST Chemistry WebBook, SRD 69"
n-pentane,309.15,0.61003,"NIST Chemistry WebBook, SRD 69"
n-Octane,283.15,0.71063,"NIST Chemistry WebBook, SRD 69"
n-Octane,284.15,0.70983,"NIST Chemistry WebBook, SRD 69"
n-Octane,285.15,0.70903,"NIST Chemistry WebBook, SRD 69"
n-Octane,286.15,0.70823,"NIST Chemistry WebBook, SRD 69"
n-Octane,287.15,0.70743,"NIST Chemistry WebBook, SRD 69"
n-Octane,288.15,0.70663,"NIST Chemistry WebBook, SRD 69"
n-Octane,289.15,0.70583,"NIST Chemistry WebBook, SRD 69"
n-Octane,290.15,0.70502,"NIST Chemistry WebBook, SRD 69"
n-Octane,291.15,0.70422,"NIST Chemistry WebBook, SRD 69"
n-Octane,292.15,0.70341,"NIST Chemistry WebBook, SRD 69"
n-Octane,293.15,0.70261,"NIST Chemistry WebBook, SRD 69"
n-Octane,294.15,0.70180,"NIST Chemistry WebBook, SRD 69"
n-Octane,295.15,0.70100,"NIST Chemistry WebBook, SRD 69"
n-Octane,296.15,0.70019,"NIST Chemistry WebBook, SRD 69"
n-Octane,297.15,0.69938,"NIST Chemistry WebBook, SRD 69"
n-Octane,298.15,0.69857,"NIST Chemistry WebBook, SRD 69"
n-Octane,299.15,0.69776,"NIST Chemistry WebBook, SRD 69"
n-Octane,300.15,0.69695,"NIST Chemistry WebBook, SRD 69"
n-Octane,301.15,0.69614,"NIST Chemistry WebBook, SRD 69"
n-Octane,302.15,0.69533,"NIST Chemistry WebBook, SRD 69"
n-Octane,303.15,0.69452,"NIST Chemistry WebBook, SRD 69"
n-Octane,304.15,0.69371,"NIST Chemistry WebBook, SRD 69"
n-Octane,305.15,0.69289,"NIST Chemistry WebBook, SRD 69"
n-Octane,306.15,0.69208,"NIST Chemistry WebBook, SRD 69"
n-Octane,307.15,0.69126,"NIST Chemistry WebBook, SRD 69"
n-Octane,308.15,0.69045,"NIST Chemistry WebBook, SRD 69"
n-Octane,309.15,0.68963,"NIST Chemistry WebBook, SRD 69"
n-Octane,310.15,0.68881,"NIST Chemistry WebBook, SRD 69"
n-Octane,311.15,0.68800,"NIST Chemistry WebBook, SRD 69"
n-Octane,312.15,0.68718,"NIST Chemistry WebBook, SRD 69"
n-Octane,313.15,0.68636,"NIST Chemistry WebBook, SRD 69"
n-Octane,314.15,0.68553,"NIST Chemistry WebBook, SRD 69"
n-Octane,315.15,0.68471,"NIST Chemistry WebBook, SRD 69"
n-Octane,316.15,0.68389,"NIST Chemistry WebBook, SRD 69"
n-Octane,317.15,0.68307,"NIST Chemistry WebBook, SRD 69"
n-Octane,318.15,0.68224,"NIST Chemistry WebBook, SRD 69"
